Applicant_ID,Age,Education_Level,Employment_Duration_Years,Annual_Income,Owns_Home,Savings_Balance,Checking_Balance,Existing_Loans_Count,Credit_Card_Utilization,Loan_Amount,Loan_Duration_Months,Debt_to_Income_Ratio,Payment_History_Delay,Credit_Score,Credit_Status
ID_1001,44,High School,1.9,28663.9,0,1897.88,2145.84,0,0.124,1000.0,24,0.018,0,657,1
ID_1002,37,High School,1.0,28031.95,0,5134.83,1363.28,1,0.379,49926.56,60,0.374,1,513,0
ID_1003,46,Bachelor,9.8,17905.55,0,2026.51,1423.1,1,0.32,47091.16,60,0.552,2,474,0
ID_1004,57,High School,2.6,81533.34,1,21789.55,5205.01,1,0.32,52622.9,24,0.339,2,580,0
ID_1005,36,High School,2.5,81947.06,0,19619.55,6203.57,0,0.306,39333.35,48,0.126,0,652,1
ID_1006,36,Bachelor,0.9,82600.84,1,14615.83,4169.81,0,0.511,7913.58,12,0.101,2,560,0
ID_1007,57,Bachelor,2.4,63158.01,0,3936.93,8038.22,2,0.341,7626.27,12,0.127,2,531,0
ID_1008,48,Master,10.3,18647.0,0,0.0,2115.84,0,0.385,5371.68,36,0.101,1,570,0
ID_1009,33,Bachelor,2.3,32423.69,0,11139.63,4675.48,0,0.308,26446.65,24,0.428,0,591,0
ID_1010,45,High School,15.1,58994.98,0,17685.75,4531.08,0,0.366,12380.92,60,0.044,0,688,0
ID_1011,33,High School,14.6,57974.53,0,7597.72,2451.92,1,0.096,40462.05,36,0.244,1,616,0
ID_1012,33,PhD,0.8,48466.39,0,1123.62,0.0,2,0.057,14707.54,48,0.08,0,608,1
ID_1013,41,Bachelor,1.0,65150.72,0,10446.67,6605.71,0,0.552,19135.54,24,0.154,0,604,0
ID_1014,18,Bachelor,0.0,54492.91,0,4065.31,0.0,1,0.382,29758.19,60,0.115,1,518,0
ID_1015,18,High School,0.0,57548.61,1,16357.29,2063.13,2,0.235,16394.06,24,0.15,1,580,0
ID_1016,32,Bachelor,0.0,39358.5,0,8458.61,1272.28,1,0.586,8654.07,36,0.077,1,518,0
ID_1017,26,High School,1.6,88521.92,0,0.0,8881.33,0,0.345,1000.0,36,0.004,1,566,1
ID_1018,42,Bachelor,4.6,43678.63,0,7798.1,1659.02,4,0.29,41754.17,12,1.004,2,386,0
ID_1019,28,Master,8.0,27852.43,0,3042.83,2396.85,0,0.324,8418.86,60,0.063,0,622,1
ID_1020,22,PhD,0.7,36845.93,0,5812.0,3289.73,0,0.364,18101.82,36,0.172,0,589,0
ID_1021,56,Bachelor,0.6,45513.62,0,10916.88,2066.27,2,0.596,18322.06,48,0.106,1,535,0
ID_1022,36,Bachelor,12.8,89054.28,0,16515.17,7593.22,0,0.17,1000.0,36,0.004,1,668,1
ID_1023,39,Master,7.0,53043.41,1,10018.81,5461.95,2,0.159,30163.67,12,0.597,0,623,1
ID_1024,21,Bachelor,3.0,49361.49,1,0.0,2676.93,0,0.174,50289.92,60,0.214,0,629,0
ID_1025,32,High School,7.3,29017.9,0,4766.55,2830.62,2,0.083,42272.38,36,0.51,1,538,0
ID_1026,40,Bachelor,2.8,80237.1,0,5970.29,0.0,1,0.22,18229.85,24,0.119,0,629,1
ID_1027,25,High School,7.0,39105.72,0,0.0,3826.61,1,0.236,43982.23,12,1.181,3,333,0
ID_1028,43,Bachelor,2.3,51533.43,0,10155.41,3792.45,1,0.09,1000.0,24,0.01,0,675,0
ID_1029,31,Bachelor,1.4,113560.56,0,13516.43,5721.21,0,0.724,39979.11,36,0.123,1,536,0
ID_1030,35,Bachelor,6.5,69869.3,0,19077.6,2532.14,0,0.514,11840.94,24,0.089,2,537,0
ID_1031,31,Bachelor,2.7,24001.53,0,7548.3,4167.29,1,0.563,42425.75,36,0.619,0,505,0
ID_1032,61,High School,19.9,22364.83,0,6026.7,0.0,2,0.059,25640.87,48,0.301,2,579,0
ID_1033,38,Bachelor,2.1,52462.02,0,7191.56,3107.05,1,0.608,3325.07,60,0.013,0,585,0
ID_1034,26,Master,8.0,29543.81,0,8879.96,4118.55,2,0.694,29448.69,48,0.262,2,435,0
ID_1035,48,Bachelor,13.5,74927.28,0,13349.9,5671.68,2,0.29,25017.11,24,0.175,2,564,0
ID_1036,24,High School,1.4,55333.38,0,6620.94,0.0,1,0.503,29289.41,36,0.185,0,553,1
ID_1037,41,Master,8.0,58846.78,1,0.0,6833.48,2,0.105,10563.76,36,0.063,2,582,0
ID_1038,18,Master,0.0,38048.94,1,7468.75,2262.61,0,0.357,3919.26,60,0.022,1,593,1
ID_1039,23,High School,5.0,129403.64,1,28358.47,10068.43,1,0.197,36045.12,36,0.097,0,697,1
ID_1040,41,High School,3.0,224425.0,1,0.0,12302.28,1,0.102,23791.69,36,0.037,3,565,0
ID_1041,47,Bachelor,6.8,47132.01,1,10864.09,2051.67,0,0.188,35307.98,24,0.393,0,677,1
ID_1042,41,Master,3.1,64635.54,1,0.0,6319.25,2,0.241,34981.95,36,0.189,2,535,0
ID_1043,37,PhD,1.3,56880.55,0,3914.16,5538.47,0,0.134,37743.11,36,0.232,1,594,0
